State,Case_#,Distracted
Alabama,10434,While Manipulating Cellular Phone
Alabama,10434,Not Distracted
Alabama,10435,Not Distracted
Alabama,10436,Not Distracted
Alabama,10436,Looked But Did Not See
Alabama,10437,Not Distracted
Alabama,10437,Not Distracted
Alabama,10437,Not Distracted
Alabama,10438,Not Distracted
Alabama,10438,Not Distracted
Alabama,10439,Other Cellular Phone Related
Alabama,10439,Not Distracted
Alabama,10440,Not Distracted
Alabama,10441,Not Distracted
Alabama,10442,Not Distracted
Alabama,10442,Not Distracted
Alabama,10442,Not Distracted
Alabama,10443,While Using or Reaching for Device/Object Brought into Vehicle
Alabama,10443,Not Distracted
Alabama,10444,Not Distracted
Alabama,10445,Not Distracted
Alabama,10446,Not Distracted
Alabama,10447,Not Distracted
Alabama,10448,Not Distracted
Alabama,10449,Not Distracted
Alabama,10449,Not Distracted
Alabama,10450,Not Distracted
Alabama,10451,Not Distracted
Alabama,10452,Not Distracted
Alabama,10452,Not Distracted
Alabama,10453,Not Reported
Alabama,10454,Not Distracted
Alabama,10455,Not Distracted
Alabama,10455,Not Distracted
Alabama,10455,Not Distracted
Alabama,10456,Not Distracted
Alabama,10456,Not Distracted
Alabama,10457,Not Distracted
Alabama,10457,Not Distracted
Alabama,10458,Not Distracted
Alabama,10458,Not Distracted
Alabama,10459,Not Distracted
Alabama,10460,Not Reported
Alabama,10461,Not Distracted
Alabama,10461,Not Distracted
Alabama,10462,Not Distracted
Alabama,10463,Not Distracted
Alabama,10463,Not Distracted
Alabama,10464,Not Distracted
Alabama,10464,Not Distracted
Alabama,10465,Not Distracted
Alabama,10466,Not Distracted
Alabama,10467,Not Distracted
Alabama,10467,Not Distracted
Alabama,10468,Not Distracted
Alabama,10469,Not Distracted
Alabama,10470,Not Distracted
Alabama,10471,Not Distracted
Alabama,10472,Not Distracted
Alabama,10472,Not Distracted
Alabama,10473,Not Distracted
Alabama,10474,Not Distracted
Alabama,10475,Not Distracted
Alabama,10475,Not Distracted
Alabama,10476,Not Distracted
Alabama,10477,Not Distracted
